system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
au_pension_only,1.05,0.6011752102245642,0.0996,1.3029757130277873,100000,0.6304748831095899,65,40,28,1.0,0.05221808562108241
au_pension_only,1.1,0.5853446857805626,0.0996,1.3029757130277873,100000,0.6103203950292084,65,40,28,1.0,0.05221808562108241
au_pension_only,1.15,0.5694985007001753,0.0996,1.3029757130277873,100000,0.5906949812779866,65,40,28,1.0,0.05221808562108241
au_pension_only,1.2,0.5537814326182812,0.0996,1.3029757130277873,100000,0.5717062957078849,65,40,28,1.0,0.05221808562108241
au_pension_only,1.25,0.5383111863074889,0.0996,1.3029757130277873,100000,0.5534246616655814,65,40,28,1.0,0.05221808562108241
au_pension_only,1.3,0.5231796186694951,0.0996,1.3029757130277873,100000,0.5358904465152335,65,40,28,1.0,0.05221808562108241
au_pension_only,1.4,0.4941864656618004,0.0996,1.3029757130277873,100000,0.5031156748409396,65,40,28,1.0,0.05221808562108241
au_pension_only,1.5,0.4671279979631277,0.0996,1.3029757130277873,100000,0.47333909770906146,65,40,28,1.0,0.05221808562108241
au_pension_only,1.75,0.40831586806554426,0.0996,1.3029757130277873,100000,0.41063138925006465,65,40,28,1.0,0.05221808562108241
au_pension_only,2.0,0.360899731409786,0.0996,1.3029757130277873,100000,0.3614852200392121,65,40,28,1.0,0.05221808562108241
au_pension_only,1.0,0.6291565049848444,0.08261,1.5061402930165226,100000,0.6543161051196164,67,42,26,1.0,0.044780833974199484
au_pension_only,1.05,0.6089926837258414,0.08261,1.5061402930165226,100000,0.6299453791420095,67,42,26,1.0,0.044780833974199484
au_pension_only,1.1,0.5892482217919144,0.08261,1.5061402930165226,100000,0.6066738734213902,67,42,26,1.0,0.044780833974199484
au_pension_only,1.15,0.5700644384032751,0.08261,1.5061402930165226,100000,0.5845508357067726,67,42,26,1.0,0.044780833974199484
au_pension_only,1.2,0.5515390035024631,0.08261,1.5061402930165226,100000,0.5635852854966247,67,42,26,1.0,0.044780833974199484
au_pension_only,1.25,0.5337335629728848,0.08261,1.5061402930165226,100000,0.5437582364636708,67,42,26,1.0,0.044780833974199484
au_pension_only,1.3,0.5166812461249142,0.08261,1.5061402930165226,100000,0.5250321558513349,67,42,26,1.0,0.044780833974199484
au_pension_only,1.4,0.4848653283436324,0.08261,1.5061402930165226,100000,0.4906803647940863,67,42,26,1.0,0.044780833974199484
au_pension_only,1.5,0.45601596760614294,0.08261,1.5061402930165226,100000,0.46008107702980716,67,42,26,1.0,0.044780833974199484
au_pension_only,1.75,0.3953955425586506,0.08261,1.5061402930165226,100000,0.39705353763479523,67,42,26,1.0,0.044780833974199484
au_pension_only,2.0,0.34797766647832995,0.08261,1.5061402930165226,100000,0.3485973819696928,67,42,26,1.0,0.044780833974199484
au_pension_only,1.0,0.6178878424676564,0.05651,1.868213618971102,100000,0.6334337879660823,70,45,23,1.0,0.03383347327865185
au_pension_only,1.05,0.5932738905773316,0.05651,1.868213618971102,100000,0.6062520448715378,70,45,23,1.0,0.03383347327865185
au_pension_only,1.1,0.570059654300967,0.05651,1.868213618971102,100000,0.5809880033394217,70,45,23,1.0,0.03383347327865185
au_pension_only,1.15,0.5482205596232953,0.05651,1.868213618971102,100000,0.5575059980520601,70,45,23,1.0,0.03383347327865185
au_pension_only,1.2,0.5277056002373227,0.05651,1.868213618971102,100000,0.5356675224243486,70,45,23,1.0,0.03383347327865185
