year,iso,tier,dom_eq,intl_eq,bond,bill,inflation,real_exchange_rate,available,provenance,country
1921,AUS,A,0.32112028260636327,-0.06714399248522063,0.2067529704720592,0.14685880919844907,-0.09243691377727148,0.7979014916357938,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1921,BEL,A,0.14821084489098268,0.029332790436879197,0.21074015013220038,0.17289966070338325,-0.1230769230769232,1.0967722589346331,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1921,CHE,A,-0.027809052143849322,0.002558608197561263,0.3495002725474634,0.1709600654027139,-0.10714290780141844,1.379581393203012,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1921,DEU,A,0.7074872972579196,0.1239454103137212,0.09223847378119987,-0.21048865678773976,0.3108108038645452,0.41417908722384605,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1921,DNK,A,-0.06704491664016743,-0.040693600117718165,0.46556052343521115,0.25079994745421574,-0.15094336136787012,1.166692744485983,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
1921,ESP,A,0.17889851717974725,0.328164957785376,0.2882826864306651,0.3154634761238715,-0.19420035759390408,1.019579161255272,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Spain
1921,FIN,A,-0.37782983031708406,0.42604453521131314,-0.14458402738197362,-0.14411438623750672,0.24432515337423322,0.8938589501335109,True,JST/JKKST empirical 1896-2020; inflation 100% empirical,Finland
1921,FRA,A,0.09862724551052415,-0.009911378559368633,0.1791379821469199,,-0.13114754098360648,0.8328092209378529,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,France
1921,GBR,A,0.08594982273452745,-0.05329147472701312,0.27423318261912377,0.14420131337981745,-0.08599999999999974,1.3241267596256763,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United Kingdom
1921,ITA,A,-0.2538122044245893,-0.092475812706868,-0.13290828295870483,,0.1830825650038701,0.6550637835652806,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Italy
1921,JPN,A,-0.04671963776489352,0.04702783181074355,0.18204152180270206,0.14051849064608768,-0.08357469868261247,1.6095356884240395,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Japan
1921,NLD,A,-0.034849036071364026,0.08457008610685257,0.26715053258250343,0.1937309069980735,-0.1288656471553291,1.019531012351893,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Netherlands
